200,195,98,88,44,8,129,219,173,234,122,36,170,113,156,15
94,32,88,243,152,66,61,223,55,51,50,65,158,171,128,103
110,226,191,155,234,65,118,152,43,240,188,213,97,89,228,192
121,61,179,17,127,240,240,182,35,34,247,194,205,120,41,60
90,232,215,69,41,77,221,84,61,153,41,158,242,14,94,108
75,18,125,202,2,110,128,38,144,119,232,94,239,17,154,74
249,113,143,35,190,108,119,251,5,161,153,248,175,248,100,250
13,10,225,196,12,79,68,50,224,187,26,62,171,43,216,245
73,132,72,7,240,191,2,245,96,155,237,15,147,81,9,157
51,205,170,130,17,220,98,205,247,160,120,34,120,109,71,193
241,143,200,225,79,202,214,175,102,196,191,249,21,200,151,72
150,65,203,167,29,45,116,20,206,236,55,70,89,126,8,74
14,208,43,93,155,2,12,1,198,203,250,219,148,145,36,42
210,239,209,240,28,70,4,234,50,59,49,140,186,57,214,200
9,2,37,164,4,49,165,202,253,160,165,145,49,201,187,4
184,140,244,213,210,248,191,5,52,240,145,238,41,103,182,51
105,219,215,109,12,125,55,9,29,221,154,78,166,85,82,95
226,70,52,180,63,243,185,115,228,74,97,13,178,23,64,27
242,24,137,254,149,192,8,178,157,162,13,10,0,23,64,27
153,215,142,216,202,72,75,174,146,172,188,68,195,252,96,181
