147,184,64,39,190,206,99,0,192,6,214,37,3,127,0,0
250,169,125,138,141,53,154,13,220,13,10,78,180,55,176,255
108,13,161,42,220,4,37,133,129,175,19,183,73,32,147,152
212,202,72,211,255,188,64,108,146,241,204,120,164,153,241,16
167,146,59,131,150,96,8,24,15,27,207,88,59,98,240,15
44,57,227,43,245,35,151,135,20,99,255,185,253,240,201,164
131,4,39,25,100,47,49,115,75,13,10,0,253,240,201,164
245,121,186,234,156,82,113,177,181,112,106,178,97,51,86,228
56,125,253,156,173,47,16,248,47,220,126,146,152,20,33,142
141,219,120,42,45,234,219,227,90,69,149,187,120,236,159,176
105,157,77,22,204,93,14,251,57,141,141,209,161,174,95,47
138,216,89,183,194,52,154,28,121,48,216,241,28,119,162,133
20,239,156,224,76,170,220,133,55,105,86,217,24,182,8,162
142,97,89,80,149,244,108,14,36,68,255,64,188,161,197,208
144,97,177,220,12,141,97,67,246,184,28,14,110,36,176,252
133,13,10,76,26,254,184,40,34,253,40,98,185,201,39,137
137,58,54,149,199,152,216,190,80,245,204,190,25,125,186,159
135,6,185,133,190,226,167,187,13,10,9,116,211,48,254,45
56,100,78,13,10,53,7,196,212,142,13,10,0,48,254,45
202,142,19,136,112,186,68,122,195,184,77,244,182,123,173,239
